id,name,city,area,category,features,price,duration,address,hours,transport,link,tags
nintendo-kyoto,Nintendo KYOTO,京都,私房祕境,私房祕境,任天堂直營店、遊戲主題商品、限定商品、大雕像打卡,免費（購物另計）,1小時,京都高島屋S.C. 新館7樓,10:00-20:00,京都河原町駅 5號出口直通,,"['京都', '主題樂園', 'ACG/玩具', '免費']"
sanjusangendo-temple,三十三間堂,京都,文化體驗,文化體驗,千尊觀音像、清水燒產地,¥600,1小時,京都市東山區三十三間堂迫,8:00-17:00（依季節調整）,「七條駅」步行7分,https://www.jgd.or.jp/,['京都']
sanjusangendo,三千院,京都,私房秘境,秘境景點,紅楓地毯、紫花、安靜祕境,¥700,1.5小時,京都市左京區大原江戶山町,9:00-17:00,巴士「大原」步行10分,https://www.sanjoinji.jp/,"['京都', '賞楓']"
下鴨神社,下鴨神社,京都,私房祕境,私房祕境,京都最古老神社、糺之森（市區唯一原始森林）、《有頂天家族》聖地,免費,1小時,京都市左京區下鴨泉待町59,06:00-17:00,京阪「出町柳駅」步行10分,[shimogamo-jinja.or.jp](https://www.shimogamo-jinja.or.jp/),"['京都', '必去', '神社寺院', '自然', '免費']"
nijo,二條城,京都,私房秘境,秘境景點,大政奉還歷史、夜間特別拜觀,"¥1,000（大人）",1.5小時,京都市中京區二條城町,08:45-17:00（最後入場16:00）,地鐵「二條城前駅」直達,https://nijo-jocastle.city.kyoto.lg.jp/,['京都']
manga-museum,京都國際マンガ博物館,京都,文化體驗,文化體驗,漫畫愛好者聖地、收藏30萬冊,¥800,2小時,京都市中京區烏丸御池,10:00-17:00（休週二）,地下鐵「烏丸御池駅」,https://www.kyoto-art-museum.jp/,['京都']
任天堂博物館,任天堂博物館,京都,私房祕境,私房祕境,2024/10/2 開幕、任天堂歷史展示、互動體驗、抽籤預約制,"¥3,000（大人）/ ¥2,000（國高中生）/ ¥1,000（國小）",2-3小時,京都宇治市小倉町 Kaguraden-56,10:00-18:00（週二休）,近鐵「小倉駅」步行5分,[museum.nintendo.com](https://museum.nintendo.com/en/),"['京都', '體驗', 'ACG/玩具']"
ine,伊根灣舟屋,京都,私房秘境,秘境景點,舟屋景觀、舟屋特有風情,"免費（乘船¥1,500）",2小時,京都府伊根町,天天營業,MRT 伊根線「伊根駅」,,"['京都', '自然', '免費']"
fushimi-inari,伏見稻荷大社,京都,定番,定番景點,千本鳥居、經濟信仰,免費,1-2小時,京都市伏見區深草薙之義,24小時,Jr 奈良線「伏見稻荷駅」直達,https://inari.ne/,"['京都', '免費']"
先鬥町,先鬥町,京都,定番,定番,鴨川畔居酒屋小巷、燈籠古街、夜晚氛圍佳,免費（餐飲另計）,1小時,京都市中京區先鬥町,店鋪約 17:00-24:00,京阪「祇園四條駅」步行2分,,"['京都', '自然', '免費']"
yasaka,八坂神社,京都,定番,定番景點,祇園信仰中心,免費,30分鐘,京都市東山區祇園町,24小時,「祇園四條駅」步行5分,https://www.yasaka-jinja.or.jp/,"['京都', '神社寺院', '免費']"
kitanotenmangu,北野天滿宮,京都,私房秘境,秘境景點,紅葉苑夜間點燈、學問之神,"免費（寶物館¥1,000）",1小時,京都市北區馬代大街,社 5:00-21:00,巴士「北野天滿宮前」直達,https://kitanotenmangu.or.jp/,"['京都', '賞楓', '免費']"
nanzenji,南禪寺,京都,定番,定番景點,紅楓水路、水路閣,¥600（三門或方丈庭園）,1.5小時,京都市左京區南禪寺町,3-11月 8:40-17:00 / 12-2月 8:40-16:30,巴士「南禪寺」步行5分,https://www.nanzenji.ne.jp/,"['京都', '賞楓', '神社寺院', '文化體驗']"
kimono,和服體驗,京都,文化體驗,文化體驗,祇園、清水寺周邊多家店家,"¥3,000-8,000",半天,京都市東山區,各店不同,各店舖位置不同,,"['京都', '體驗', '神社寺院', '文化體驗', 'ACG/玩具']"
tetsugaku,哲學之道,京都,定番,定番景點,2km賞楓水路散步道、連接銀閣寺與南禪寺,免費,1-2小時,京都市左京區疏水沿線,24小時,巴士「銀閣寺道」步行5分,,"['京都', '賞楓', '神社寺院', '文化體驗', '免費']"
okochi,大河內山莊,京都,私房秘境,秘境景點,庭園眺望嵐山、抹茶,"¥1,000",1小時,京都市右京區嵐山,10:00-17:00,嵐電「嵐山駅」步行15分,,"['京都', '文化體驗', '自然']"
amanohashidate,天橋立,京都,私房秘境,秘境景點,日本三景之一、特殊地質,免費（遊覽船¥880）,半天,京都府宮津市,天天營業,Jr 小敦線「天橋立駅」,https://www.amanohashidate.jp/,"['京都', '免費']"
